ZCTA5,Nearest_Hospital_Distance
79019,61516.68910447637
79021,36548.36704144979
79022,135965.8320609943
79027,62961.83469128574
79029,86780.55150651188
79031,52624.645103076946
79032,27086.974049626057
79034,65292.90708783078
79035,40003.56336464248
79036,66959.80235482755
79039,44202.534516506836
79041,27150.447380862704
79043,51599.52901048731
79045,0.0
79052,25522.883992634164
79057,49868.65693033299
79059,42131.55585875383
79062,96738.22014704064
79064,42719.985705372856
79070,75027.92021723054
79080,43535.305120605735
79082,45247.071805359585
79084,84349.92549176372
79087,169701.11566967002
79091,47060.07918203584
79093,82466.33098775551
79097,34260.016363619114
79105,60759.16691674759
79106,0.0
79107,10935.148072777203
79108,21777.382573787443
79110,7853.954393491125
79119,18521.508730246824
79124,0.0
79220,107273.52295976861
79226,87702.63517552704
79229,97395.01003023116
79233,29935.324771600044
79237,75713.21210754565
79241,39209.250807601406
79243,99935.90250928908
79248,58806.54857964036
79250,42269.123205790835
79252,54625.41324451201
79256,89479.57002915819
79259,20794.154948512307
79311,21992.424283772456
79313,22388.436486567713
79316,0.0
79324,38645.947638783146
79326,28531.12601622761
79336,0.0
79345,25314.658619501475
79347,59095.22550895082
79351,40632.03763320697
79356,69999.24121639949
79358,32375.30180734197
79360,47710.717079060174
79364,26923.818900992017
79367,23690.659378632532
79371,47964.34543733498
79373,49995.60551018017
79380,19307.774358335035
79382,20078.61055612771
79403,16552.82488147609
79407,12694.012585844033
75969,16411.75591773992
75972,42401.7348012129
75973,48626.47873180153
75974,23022.18267708673
75975,33958.65762425455
75976,26376.85824167135
75977,34012.02428600299
75980,40673.77975516609
76001,4321.248064813813
76002,8969.18361695916
76006,5900.457137525149
76008,20237.35684544452
76009,18424.245166034925
76010,7177.752902461735
76012,0.0
76014,5064.728242029887
76016,4607.2297332624685
76018,6375.787515410916
76023,20204.277730861497
76028,0.0
76033,0.0
76040,5789.6182306415285
76043,0.0
76048,0.0
76050,33546.15989095053
76052,7427.155768042999
76055,18610.54682372962
76060,6565.861880824691
76061,10055.579509025376
76064,27981.88933711565
76066,19193.866914822407
76070,16186.556102831068
76073,32466.920664441073
76085,16069.87173361323
76087,11150.590704343744
76092,0.0
76103,6597.21001245833
76107,6651.122217634063
76110,0.0
76111,6840.390425206236
76114,11219.173814387383
76117,6747.74478273538
76119,7984.646867418718
76123,6996.298801790656
76127,13757.020942035786
76133,4879.871095487314
76137,7783.932768866849
76155,9270.219058509932
76164,8058.352764470965
76179,14338.893122522271
76201,0.0
76205,4624.545061202912
76209,4384.481136517026
76225,21558.85633522258
76227,0.0
76230,0.0
76238,29797.207232929595
76245,28306.148705708216
76248,6199.822985815527
76250,7648.360214658859
76255,0.0
76258,15255.458644103557
76261,26192.241653298894
76263,26915.05652643619
76266,20834.81636023299
76270,24115.52347558077
76272,25864.981428912517
76301,0.0
76305,15831.407563250277
76351,35727.083252133125
79415,0.0
79416,0.0
79424,13714.866635701517
79501,0.0
79502,43615.75982147633
79503,18628.395260216737
79504,48660.95176085838
79505,18654.40363151435
79506,44516.04214767224
79510,35044.95572966242
79511,31838.501953528168
79512,62343.899111384024
79517,86205.52873087597
79518,90222.78435582206
79519,43544.09152107789
79520,0.0
79521,32153.87304133422
79527,62708.334126082715
79529,0.0
79532,39306.54247027337
79536,27384.151600187735
79539,10121.585220499774
79541,27397.697492905572
79544,18275.748368053937
79546,40873.85385959678
79548,17900.67173717607
79553,0.0
79561,20248.66171448355
79563,12167.77065019585
79566,46265.89647493107
79601,0.0
79605,10854.281248753045
79701,0.0
79705,8096.839949114601
79718,114127.50846774582
79719,116170.46317602046
79731,59140.30314030564
79734,130742.73621101883
79738,60148.44515381675
79742,78419.31413287233
79744,93409.14123278002
79748,28660.31150179561
79752,86442.84264043169
79759,39945.3805928325
79762,9292.617030344834
79764,14268.008194561913
79766,21138.842446872557
79777,98662.71907958464
79780,99114.92093793135
79782,34339.06778102391
79785,138878.6964437632
79789,92299.35554271344
79831,72719.4509582756
79835,22140.9884424156
79837,91381.57253693396
79842,91969.69060239766
79847,89502.19856939623
79851,101305.40132180837
79853,52260.417587016695
79902,0.0
79904,10671.393422700794
79905,0.0
79907,9564.482008271905
79912,9240.765204979145
79922,8127.892657172739
79924,17846.683362858214
79925,7809.768620727013
79934,23125.33361521543
79936,0.0
76354,30188.786716096067
76357,40534.88884979404
76360,48085.773767108134
76363,34500.58357327292
76364,35123.108349751354
76365,34866.435291436355
76367,28573.906914851723
76370,41108.00299530948
76371,23922.284624140717
76372,41281.210624522784
76374,41453.13317618931
76377,30502.527351067205
76379,17666.86099363108
76380,0.0
76384,0.0
76388,28683.09823265206
76424,0.0
76426,39002.731919025864
76431,29124.639324298252
76437,24814.55558222369
76443,54686.849108975
76445,30829.255156398136
76448,0.0
76452,20565.4435144906
76454,26521.577614960865
76457,39132.99523914746
76459,23477.65481927256
76462,27722.301200489223
76464,44332.90941105403
76470,20541.879339489828
76475,45352.11867538606
76481,15793.874970489143
76486,29451.146538570167
76491,34846.32801703389
76501,12215.259591291757
76504,6798.856831049447
76513,11542.633570079211
76519,21844.88560343262
76522,36777.17663776862
76524,30464.64944222929
76527,22622.44613553025
76530,36965.81900723198
76539,31060.06638258891
76542,0.0
76544,17293.408133697692
76550,54639.42830359018
76556,24205.666707073622
76559,5646.93564797887
76565,18859.378180020904
76567,31335.704853955136
76570,26915.874092458635
76574,30532.695366010947
76578,45580.99628615891
76624,37228.35754078287
76626,20927.682107403045
76627,26750.942512337024
76629,30342.00189650804
76631,19504.708743337324
76633,21276.14883047424
76636,25987.803059375427
76638,21298.7342808717
76640,29896.527934753736
76642,20855.317214009752
76645,0.0
76649,28328.058932927514
76655,18835.927214059684
76656,29102.415961374034
76660,28743.170002178133
76664,31791.03021535778
76666,24250.664437368006
76670,21592.30474719009
76671,38221.81929878132
76673,44736.32160213629
76676,28860.097014363753
76678,32310.83965849241
76679,22266.22734942239
76680,16688.05439484645
76681,27477.632168957705
76682,18692.587995570462
76685,18566.64382410447
76687,37190.205748330314
76689,33351.457535418114
76690,17670.791438300548
76691,32205.597138320238
76692,23285.1661964219
76705,22251.499200705373
76706,19784.716296627357
76708,14316.388382719215
76712,0.0
76801,0.0
76820,40629.815198141245
76823,14410.005916415475
76828,44945.805586355695
76832,38465.38311533784
76837,56104.582168851004
76842,54265.47728578692
76845,55937.96926798165
76849,92157.03544481624
76854,93655.40201915504
76857,27421.569644381354
76859,79350.99927375207
76865,57387.75148326138
76870,38505.91155023364
76872,56553.693748820166
76878,30324.17008417275
76882,72464.24109569796
76885,30625.441896467666
76890,30173.03140751847
76903,0.0
76905,13220.161595583597
76930,86421.72707238495
76934,30067.488665054236
76936,56026.242198171545
76939,18152.09773103948
76941,57605.454379434945
76949,65474.51070824691
76955,26934.318578294384
76958,42803.09977599632
77003,2359.6149989372466
77007,3562.888054450049
77011,6532.256659664916
77012,9904.73502087204
77013,15018.68645551355
77014,4232.784217441047
77017,8763.863234615961
77019,5012.912554268012
77022,6099.336689212639
77024,0.0
77030,0.0
77031,7753.776235615183
77032,7851.698443659706
77035,0.0
77037,7036.516956363351
77041,8910.602916926271
77043,9375.141496761813
77045,5328.477011230679
77048,9798.223316712449
77053,9093.149170854587
77054,0.0
77055,4073.436848242741
77060,10792.50518377819
77061,10507.409916636729
77063,4655.256243244422
77064,6337.617681002914
77065,0.0
77066,8361.148845314026
77068,4801.249211591087
77069,5525.970423240467
77070,0.0
77071,4843.357627090159
77072,7014.270164113682
77073,5062.340435628734
77074,6316.595481429476
77075,9267.020295154716
77077,4487.510687122395
77078,17706.887786895433
77079,7907.029312319342
77081,7609.160514658894
77086,10007.602756961567
77088,3873.619762879988
77090,0.0
77092,4817.256748850255
77094,0.0
77099,6990.732014698567
77301,9306.906463369694
